area_sqft,bedrooms,bathrooms,floors,age,garage,garden,near_school,location_score,price
854,4,3,3,25,1,0,0,4,680974
2291,5,5,2,29,0,1,1,8,1233084
5745,5,2,3,5,0,0,1,6,1676417
4151,3,2,3,2,1,0,0,6,1330869
3426,6,4,1,27,0,0,1,5,1301219
2585,4,4,1,38,0,0,1,8,1094561
2616,1,3,1,16,1,1,0,5,782341
1913,4,2,3,28,0,1,1,7,997821
1144,6,4,2,28,1,1,1,7,1026633
3516,4,4,3,13,1,1,0,5,1249326
1004,2,3,3,33,0,0,0,3,604933
3447,5,1,2,28,1,1,1,8,1224462
1532,1,1,3,23,0,0,0,1,421154
3021,5,3,2,5,1,1,0,8,1339674
5509,5,1,1,35,1,1,1,9,1703872
4743,3,3,1,17,0,1,1,7,1336026
4231,6,5,3,39,0,0,1,5,1442151
3486,6,3,1,11,0,1,0,2,1117135
3278,2,3,2,10,0,1,1,7,1066365
1324,1,3,3,11,1,1,1,1,512594
3040,5,3,1,37,0,1,0,5,1172468
3200,4,1,3,30,1,0,1,3,935756
3624,3,1,1,22,1,1,1,9,1133074
1550,2,4,1,8,1,1,0,2,643935
2591,5,5,1,39,1,1,0,8,1121847
2912,2,2,3,35,1,0,1,1,807729
1039,4,4,3,37,0,1,1,9,892439
4990,6,5,3,5,1,0,0,5,1618599
3454,1,4,3,6,1,0,0,5,1045967
4068,4,2,3,33,1,1,1,2,1238819
2171,1,1,3,15,0,1,0,9,790329
5738,4,1,1,5,0,0,1,9,1541084
5381,2,3,3,2,0,1,0,6,1436953
4645,1,1,3,7,0,1,0,9,1237914
944,5,4,2,36,1,0,1,9,875589
5943,3,1,1,9,0,1,1,5,1550071
5986,2,3,3,12,0,1,0,1,1392481
2039,4,1,1,5,1,1,1,6,917558
1994,3,5,3,16,1,0,0,3,836255
4984,3,4,2,10,0,0,1,6,1511977
5409,3,3,2,4,0,0,0,7,1515517
3238,6,4,2,38,1,0,0,9,1451480
4549,1,3,2,36,1,0,1,2,1101080
2409,6,1,3,17,0,1,0,5,1026436
730,2,3,1,14,0,1,1,5,596894
2943,4,4,2,23,1,0,1,4,1092487
3344,4,5,3,36,0,1,1,1,1112904
4275,6,4,2,35,1,1,1,7,1572217
1281,3,5,3,21,0,0,0,5,806998
3555,3,1,2,33,0,0,0,4,1020700
5079,1,3,2,1,1,1,1,6,1395969
3973,3,2,3,17,0,0,0,9,1298015
5382,3,1,2,4,0,1,1,4,1415443
3806,5,1,1,38,1,1,1,1,1013880
3501,2,4,2,13,0,1,0,3,1040531
693,5,5,1,24,1,1,1,3,698481
4497,1,1,3,2,1,1,0,9,1250707
533,4,3,3,21,1,1,1,4,634988
3037,6,5,2,20,0,1,1,8,1404065
1009,3,2,2,36,1,0,1,3,496963
5125,4,5,2,37,1,1,1,6,1618498
4950,1,4,3,36,0,1,1,4,1332670
2890,6,1,3,34,0,1,1,3,1019948
5933,6,4,3,3,0,1,0,1,1691384
4901,5,4,3,23,0,1,0,6,1594169
5664,4,4,2,22,1,0,0,2,1510380
3758,3,3,2,24,0,1,0,1,968470
864,4,4,1,27,0,0,1,5,624777
3630,6,3,3,0,0,1,0,9,1430298
3484,1,1,2,2,1,1,1,3,875058
3939,1,3,1,22,1,0,0,5,968158
4022,2,3,2,11,1,0,0,7,1267901
1778,6,5,2,28,1,0,0,7,1030185
1943,6,1,1,12,1,0,0,8,1026132
3066,3,4,2,28,0,1,0,3,996986
414,4,5,2,38,1,1,0,7,757166
5121,1,5,2,30,1,0,1,2,1182472
5136,5,1,1,29,1,0,0,8,1571517
4976,6,4,2,27,1,1,1,4,1501378
1461,1,5,2,11,0,0,0,5,700988
5582,4,2,3,14,0,1,0,7,1578586
4941,1,3,2,0,0,0,1,3,1234931
2974,4,5,1,1,1,1,0,7,1289325
1292,5,1,3,9,1,1,1,4,720156
761,1,1,2,24,0,0,0,3,335939
1505,3,4,3,7,0,0,1,6,868463
5045,4,2,2,31,1,1,1,4,1449753
2670,1,5,2,18,0,1,1,8,1076321
1827,6,4,2,11,0,0,0,5,1034895
2890,3,2,3,23,1,0,1,2,864482
3478,2,1,2,10,0,0,0,7,1096106
4340,2,3,1,19,1,1,1,9,1361106
2410,6,3,1,38,1,0,1,7,1136590
4055,4,2,2,7,1,0,0,5,1282097
1245,6,4,1,14,0,1,1,1,811512
2689,2,2,1,8,1,1,1,3,788122
4318,3,4,1,8,1,0,1,5,1346946
4337,4,2,3,5,1,0,1,1,1250217
3600,5,3,3,27,0,1,1,2,1227304
1528,4,1,2,38,1,0,1,6,772161
2062,4,1,2,30,1,0,1,5,895744
3054,4,4,1,23,0,0,1,5,1040655
2613,2,5,3,25,1,0,1,4,887016
5347,5,5,3,33,0,0,0,2,1561564
2194,5,5,1,22,1,1,0,9,1208430
1648,6,2,2,19,1,1,1,3,949048
5010,1,3,2,12,1,0,0,5,1194650
5355,3,4,2,30,0,1,0,6,1437876
3434,4,2,2,1,0,1,0,1,1083428
4862,3,4,1,22,0,0,1,8,1439164
3710,5,3,1,7,1,1,0,1,1107012
1072,3,2,2,12,0,1,0,3,647952
4450,5,4,2,24,1,0,1,7,1468976
3399,5,5,1,27,0,0,0,3,1228020
2825,6,4,3,30,0,0,0,3,1160361
1712,6,5,1,32,1,1,1,9,1084677
3886,3,4,3,1,1,1,0,1,1188943
5267,5,5,2,13,0,1,1,1,1538311
2159,1,1,1,16,0,0,1,4,596933
5753,3,1,1,35,0,1,0,4,1405445
5739,3,3,1,3,1,0,0,8,1654465
5767,5,2,2,30,0,1,0,8,1680456
2271,3,5,1,7,0,0,1,6,958821
5376,2,2,3,26,1,0,1,6,1480434
3578,4,3,1,13,1,0,1,3,1126400
2155,6,2,1,13,0,0,1,8,1064051
2559,4,2,2,20,1,1,1,8,1068503
1957,6,5,3,21,1,0,1,3,1071461
4654,4,2,2,23,1,1,1,8,1434954
3147,2,1,2,19,1,0,1,3,939209
4566,3,2,1,35,1,1,1,1,1110121
2160,6,5,3,16,1,0,0,2,1098708
3863,3,4,2,23,0,1,1,2,1153323
3661,3,1,2,13,1,0,0,7,1168094
4744,2,5,2,16,0,1,1,8,1513849
3695,3,3,2,35,0,1,0,3,1108289
3793,6,3,3,25,0,0,0,7,1411332
416,2,3,2,4,1,0,0,2,392314
5994,2,2,1,20,0,1,0,3,1417491
3345,5,3,2,13,1,0,1,2,1209494
5655,4,4,1,30,1,1,0,6,1617537
2741,5,3,1,6,0,0,1,2,929838
4239,6,3,3,24,1,0,1,8,1511122
5376,5,2,2,37,1,0,1,2,1371612
591,3,5,3,15,1,0,0,2,617122
3336,5,5,1,35,0,1,0,4,1208850
3876,6,2,3,34,1,0,0,6,1330409
1635,1,4,1,1,0,1,1,1,495904
5333,4,3,2,6,0,0,1,6,1546237
513,3,4,3,11,0,1,0,9,816716
2846,1,2,1,1,0,1,1,9,895326
489,6,2,2,22,1,0,0,2,669548
3025,5,5,2,25,1,0,1,8,1355488
5797,2,3,3,22,1,0,0,1,1325963
4428,3,2,3,32,1,1,1,3,1150342
5036,4,5,2,22,0,0,0,2,1460961
5304,1,1,1,25,1,1,1,7,1302302
3492,3,4,3,8,0,1,1,6,1271601
5103,6,1,2,15,0,1,1,3,1493916
4463,4,4,3,39,0,1,0,1,1243539
3195,2,3,3,32,1,0,0,5,1031981
2999,3,5,2,28,0,1,0,5,1090083
681,4,2,3,22,1,0,0,7,645059
1087,6,3,3,32,0,0,0,7,861049
2322,2,4,3,6,0,1,0,9,974125
2288,2,5,1,34,0,1,0,6,893315
5817,5,1,2,39,1,0,0,2,1436124
1657,2,3,2,29,0,1,0,3,678326
1500,6,4,1,17,0,0,1,1,851536
3317,6,2,1,16,1,0,0,9,1250015
3151,5,4,1,26,1,1,1,7,1214177
1621,2,1,2,12,0,0,0,6,706082
1874,2,3,2,26,0,1,0,5,717349
3178,3,1,1,14,0,1,1,1,799840
631,4,4,2,38,1,0,1,1,632771
1825,6,4,1,32,0,1,1,6,986196
1315,3,3,2,26,1,0,0,6,791622
5165,5,5,2,30,0,1,0,2,1417723
3673,2,5,2,33,1,1,1,7,1300108
3238,4,3,1,16,1,1,0,3,1126314
1726,3,1,3,11,0,0,0,4,644032
3521,5,2,1,28,1,0,1,7,1192018
5897,6,4,3,0,0,1,1,7,1878471
2957,5,1,2,14,0,0,0,6,1103169
2867,4,4,1,4,1,0,1,3,1064081
4407,2,2,1,37,1,1,0,9,1254613
1322,4,5,3,30,0,1,1,6,934291
5241,4,4,3,15,1,0,0,1,1379112
2795,2,4,3,10,1,1,0,5,1061112
3706,3,4,2,23,0,0,1,1,1028599
3543,4,1,1,1,1,0,0,5,1151850
4601,3,5,3,15,0,1,1,1,1353166
4991,1,3,1,22,1,0,1,9,1427321
4065,3,4,3,39,0,0,0,3,1174333
5156,3,1,3,27,0,0,1,8,1412761
1194,3,5,1,8,0,0,0,7,804565
4363,3,4,1,23,0,1,1,3,1188283
695,5,5,3,7,1,1,0,4,794844
4292,1,3,2,36,1,1,1,9,1205524
1119,5,4,3,34,1,1,1,4,898741
4791,1,3,1,27,0,1,1,9,1353617
2574,4,2,1,10,1,1,0,6,999528
4760,3,2,3,6,0,0,0,3,1259122
2446,6,4,2,2,1,0,0,5,1139203
3168,5,3,2,5,1,0,1,9,1294728
1682,1,4,2,17,0,0,0,1,575256
3271,3,2,3,34,0,1,0,8,1065183
580,4,4,3,39,0,1,1,2,569329
3219,4,4,2,0,1,0,0,1,1098625
3767,5,1,3,16,1,1,0,5,1284502
4295,4,1,3,34,0,1,1,1,1061715
3280,4,2,2,16,0,1,0,8,1146705
5725,5,1,3,32,1,1,1,1,1467227
4695,3,1,3,34,1,1,1,4,1317483
2472,2,1,1,37,0,0,1,3,698802
2778,3,2,3,15,0,1,0,6,1051722
432,6,5,2,20,0,0,1,2,670314
4430,4,1,2,28,0,1,1,8,1365502
908,4,1,1,10,1,1,0,7,681595
834,2,5,3,13,0,1,1,7,692011
2047,1,3,1,21,0,0,1,8,725217
2627,6,2,2,15,0,1,1,5,1142821
2883,3,2,3,25,0,0,0,3,898509
2049,3,3,1,12,0,1,0,4,810503
4056,1,3,1,15,1,1,0,1,979044
3472,5,5,2,4,1,0,1,7,1434864
4721,1,3,1,9,1,1,0,4,1119630
5550,3,1,1,14,0,0,1,8,1509104
4260,6,1,3,16,0,1,1,1,1239294
3495,4,4,2,20,1,1,1,8,1323873
2978,3,4,3,27,1,0,0,3,999004
3532,3,1,3,21,1,0,0,7,1055473
2559,6,2,2,7,0,0,1,9,1262192
843,2,1,1,38,0,0,0,1,331753
5131,4,4,1,6,1,1,0,5,1491618
5416,3,1,1,2,0,0,0,9,1444365
5636,1,3,1,35,1,1,1,8,1421165
2601,3,5,2,22,1,1,0,6,1118661
526,4,5,2,39,1,0,0,4,643651
2966,2,1,3,20,1,0,1,4,915659
2423,2,4,2,13,1,1,0,7,925752
2759,1,5,2,9,0,0,1,7,985790
1407,6,3,2,7,0,1,0,6,988840
1924,3,4,3,1,0,0,0,5,827240
493,3,3,1,16,0,1,1,4,588459
3927,3,1,2,25,1,0,0,5,1115208
3956,2,3,1,3,1,0,0,8,1186023
4896,1,2,3,4,1,1,0,8,1346455
5079,4,3,2,16,1,0,1,6,1571835
4411,2,1,1,36,0,1,0,9,1273395
591,2,5,3,37,1,1,0,1,540780
813,2,1,3,18,0,0,0,2,467112
1658,6,1,2,20,1,0,1,5,956029
1951,1,4,3,19,1,1,0,6,872304
3731,4,2,2,39,0,0,1,1,978157
2788,4,5,2,22,0,0,1,6,1120151
945,2,3,3,5,0,0,0,6,671640
5261,6,2,2,15,0,1,1,6,1575067
4215,6,5,3,36,1,0,0,5,1559630
5810,5,3,2,28,1,1,1,8,1680804
668,5,2,2,8,1,0,0,5,735648
1274,6,1,1,2,0,1,0,6,871247
938,1,5,2,34,1,0,0,8,731726
855,4,1,1,11,0,0,0,3,598589
1336,5,3,1,23,1,0,0,2,737036
4281,6,4,3,3,0,0,1,7,1595280
1324,5,4,1,6,1,1,1,2,843787
2701,3,1,2,36,0,1,0,3,868820
4127,1,4,2,7,0,1,0,2,1137116
1658,5,4,2,21,0,1,0,3,817398
580,5,1,3,26,0,1,0,2,603551
5460,3,3,1,10,1,0,1,5,1489378
3961,4,5,2,2,1,0,1,2,1340657
1113,5,4,2,17,1,1,0,7,956034
4504,1,2,1,1,1,1,0,6,1131012
2192,5,3,2,12,1,0,0,6,1055065
4784,4,3,1,34,1,0,1,5,1352184
5950,4,3,2,34,1,1,1,1,1562664
1518,5,4,3,16,0,1,1,9,1053059
5385,4,3,2,5,0,1,1,7,1566991
1188,5,4,3,2,0,1,0,3,784619
2655,3,3,2,29,0,1,1,5,1012136
460,3,5,2,20,1,0,1,1,522364
4266,6,1,2,36,1,0,1,9,1512431
2164,2,1,1,1,0,1,0,7,719362
3918,5,4,2,30,0,0,0,4,1283652
2895,2,3,1,37,0,1,0,3,825985
2878,6,2,3,30,1,0,0,9,1330448
5851,5,5,1,1,1,0,0,3,1631982
3858,5,1,3,14,1,0,0,2,1236830
4901,4,2,3,8,1,1,1,2,1335430
5092,4,1,3,38,1,1,0,3,1311678
3756,6,2,3,4,1,0,1,7,1489907
2002,3,3,2,29,1,1,1,9,898653
5994,4,4,1,18,0,1,1,4,1556232
4196,6,3,1,34,1,0,1,6,1437361
5368,4,1,2,38,0,0,1,9,1593313
816,6,3,1,24,0,0,1,8,782018
4854,1,3,2,0,1,0,0,5,1303651
3256,2,1,3,22,1,0,0,8,1034613
1546,3,5,3,23,0,0,0,1,638874
5183,3,2,1,10,0,1,0,1,1282433
2933,6,4,1,6,0,1,0,7,1306363
4710,1,1,1,37,0,1,1,6,1156029
4677,1,3,3,39,0,1,0,1,1053713
1958,5,2,1,24,1,1,0,2,844551
2640,2,1,2,0,1,0,0,1,657187
2084,2,2,2,38,0,1,1,3,622061
1839,1,1,1,17,1,0,1,9,772718
2812,5,5,1,25,1,1,0,5,1210044
2480,2,4,3,39,1,0,0,4,892582
5707,5,1,2,7,1,0,1,1,1457227
5400,3,3,1,38,1,1,0,8,1525916
1504,2,3,2,27,0,1,0,5,629740
981,6,2,3,7,0,0,1,9,939927
3389,3,1,3,17,1,1,0,8,1078751
4502,3,2,3,0,1,1,1,1,1237822
5526,6,4,1,12,0,1,0,1,1488129
2056,4,3,3,4,0,0,1,8,1078093
2440,4,5,2,17,0,1,1,2,914342
2561,5,2,1,1,0,1,0,6,1096444
5657,3,3,3,35,0,0,0,7,1601870
3168,5,1,3,8,0,1,1,9,1219709
4343,2,5,2,23,0,1,0,4,1265397
5182,3,1,1,9,0,0,1,2,1201709
5028,3,5,1,9,0,1,1,5,1470340
2189,6,4,1,3,0,0,1,1,885868
2814,2,2,1,36,1,0,0,7,960132
687,3,5,1,34,1,0,0,3,518455
1838,1,5,1,36,0,0,1,4,646659
1221,1,3,1,5,0,0,1,3,493809
3748,4,5,3,14,0,1,1,3,1317377
434,6,3,1,6,1,1,0,9,816363
4518,1,4,3,24,1,0,1,9,1317166
5773,6,4,1,30,1,1,0,3,1683927
4153,6,1,2,34,1,1,1,7,1382196
2189,5,2,1,38,0,1,1,7,1029589
2797,5,4,3,27,1,1,0,6,1151914
729,6,4,1,23,0,1,0,3,687321
3284,3,4,1,37,0,1,1,3,1014765
1806,2,3,1,16,1,1,1,7,874278
4108,1,4,2,22,0,0,0,6,1075134
1162,2,4,2,0,0,0,1,9,807117
4141,4,4,1,1,0,0,0,8,1364501
2134,1,3,2,35,1,0,1,8,751737
789,1,1,3,20,0,0,0,1,242520
4291,2,3,3,3,0,1,0,5,1202584
4713,1,2,1,8,1,1,0,5,1177281
5002,5,3,3,37,0,0,0,6,1479267
2273,6,5,2,25,1,0,0,5,1204295
1907,4,2,3,37,0,1,0,5,890189
3369,2,2,3,21,1,0,0,6,1069656
3827,6,2,1,14,1,1,1,3,1225096
4024,4,5,1,5,1,0,0,4,1365815
5971,3,5,2,29,0,0,1,4,1617135
3141,5,4,2,7,0,0,0,7,1181090
4299,1,3,3,39,0,0,1,9,1216607
5340,1,1,3,23,0,0,1,8,1286815
5446,5,5,3,30,1,1,1,8,1729428
5415,4,4,1,13,1,1,1,4,1541575
5894,6,4,2,28,0,1,1,9,1860757
1262,4,1,1,37,0,0,0,3,521324
5646,6,3,2,35,0,1,1,3,1657703
4709,3,1,1,24,0,1,0,8,1253154
5943,4,2,2,31,0,0,1,1,1459094
1103,6,4,1,7,0,1,0,2,767323
1894,5,4,2,4,0,0,1,9,1063362
5558,4,1,1,17,0,0,0,7,1427023
2569,4,3,3,7,0,0,1,6,1004778
4734,6,3,1,11,0,1,1,6,1476048
5264,5,5,2,7,0,0,0,1,1458652
4874,2,2,2,6,1,0,1,3,1267321
3193,3,2,2,28,1,1,0,2,940433
1022,5,3,2,15,1,0,1,8,923244
3112,5,4,1,14,1,1,1,5,1274240
5635,1,4,2,0,0,0,1,5,1345067
3939,4,5,1,28,1,0,0,8,1367197
2392,5,2,3,25,1,1,1,5,1096320
2913,2,5,2,30,1,1,1,2,888177
2261,2,1,1,7,0,1,0,9,825263
2427,5,5,2,4,0,1,1,9,1234839
1077,1,2,2,19,0,1,0,1,346776
5584,1,2,1,2,1,1,0,1,1178767
482,3,1,1,5,1,0,1,3,431579
2741,5,5,2,35,0,1,1,4,1138743
